PENDAPATAN KEPALA KELUARGA,STATUS LAHAN TEMPAT TINGGAL,LUAS LAHAN TEMPAT TINGGAL (m2),LUAS LANTAI (m2),JENIS ATAP RUMAH,JENIS DINDING,JENIS LANTAI,IJAZAH TERAKHIR KEPALA KELUARGA,FASILITAS MCK,FASILITAS TEMPAT BUANG AIR BESAR,SUMBER PENERANGAN UTAMA,SUMBER AIR MINUM,BAHAN BAKAR UNTUK MEMASAK,TEMPAT PEMBUANGAN LIMBAH,KLASIFIKASI RTM
410000,milik sendiri,218,154,seng,kayu kualitas rendah,kayu,SMP,tidak ada,sungai,listrik PLN,mata air,kayu bakar,lubang ditanah,RTM
604000,milik orang lain,267,113,seng,beton,semen,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
3250000,milik sendiri,729,155,seng,kayu kualitas rendah,semen,SD,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTHM
333000,milik sendiri,219,156,seng,kayu kualitas rendah,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
150000,milik sendiri,648,157,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
133000,milik sendiri,1236,159,seng,beton,semen,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
100000,milik sendiri,268,114,seng,kayu kualitas rendah,kayu,SMP,sendiri,jamban umum,listrik PLN,mata air,gas LPG,sawah,RTM
2000000,milik sendiri,120,115,genteng,beton,keramik,S1,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
300000,milik sendiri,269,257,seng,beton,keramik,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
200000,milik sendiri,270,258,seng,beton,keramik,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
300000,milik sendiri,94,160,seng,beton,kayu,SMP,tidak ada,sungai,listrik non PLN,mata air,gas LPG,lubang ditanah,RTM
200000,milik sendiri,221,161,seng,kayu kualitas rendah,kayu,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
2666000,milik orang lain,1237,53,seng,kayu kualitas rendah,kayu,SMP,berkelompok bersama tetangga,jamban bersama tetangga,listrik non PLN,mata air,kayu bakar,sawah,RTM
1083000,milik sendiri,360,259,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
250000,milik sendiri,222,116,kayu jerami,beton,kayu,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,kayu bakar,lubang ditanah,RTM
666000,milik sendiri,160,117,seng,beton,keramik,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
133300,milik orang lain,223,162,seng,beton,semen,SMP,tidak ada,jamban umum,tidak ada,air isi ulang,kayu bakar,sawah,RTSM
1000000,milik sendiri,83,163,seng,kayu kualitas rendah,semen,SMA,MCK umum,jamban umum,tidak ada,mata air,kayu bakar,sawah,RTSM
833000,milik sendiri,73,164,seng,kayu kualitas rendah,semen,SMA,tidak ada,jamban bersama tetangga,tidak ada,mata air,kayu bakar,sawah,RTSM
2400000,milik orang lain,224,260,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
666000,milik sendiri,225,95,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
1000000,milik orang lain,61,835,seng,kayu kualitas rendah,kayu,SMA,tidak ada,sungai,listrik PLN,mata air,gas LPG,sawah,RTM
400000,milik sendiri,85,189,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
200000,milik sendiri,226,190,seng,kayu kualitas rendah,semen,SMP,berkelompok bersama tetangga,jamban bersama tetangga,tidak ada,mata air,gas LPG,sawah,RTSM
1333000,milik sendiri,1225,191,genteng,beton,tegel,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
200000,milik sendiri,1259,167,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
258000,milik sendiri,690,192,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
333000,milik sendiri,19,121,seng,beton,semen,SMA,tidak ada,sungai,tidak ada,mata air,gas LPG,sawah,RTSM
650000,milik sendiri,53,122,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
500000,milik sendiri,1260,59,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
325000,milik sendiri,227,193,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
400000,milik sendiri,95,194,seng,kayu kualitas rendah,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
250000,milik sendiri,1239,195,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1500000,milik sendiri,1240,836,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
400000,milik orang lain,96,196,seng,kayu kualitas rendah,kayu,SMP,berkelompok bersama tetangga,jamban bersama tetangga,listrik PLN,mata air,gas LPG,sawah,RTSM
1000000,milik sendiri,228,197,seng,beton,tegel,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
560000,milik sendiri,1220,124,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1500000,milik sendiri,229,198,seng,kayu kualitas tinggi,kayu,S1,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
